Date, Close/Last, Volume, Open, High, Low
03/09/2020, $321.25, 934600, $318.4, $327.405, $315.01
03/06/2020, $336.21, 1008423, $329.28, $337.98, $327.91
03/05/2020, $340.94, 1172939, $333, $348.46, $332.5
03/04/2020, $336.7, 828924, $322.01, $338.9, $322.01
03/03/2020, $319.47, 1517398, $313.08, $322.9799, $310.08
03/02/2020, $310.06, 1417850, $319.33, $321.43, $306.76
02/28/2020, $318.71, 1161388, $313.51, $324.61, $311.185
02/27/2020, $321.93, 1296343, $332.21, $336.24, $315.41
02/26/2020, $345.85, 903770, $347.9, $351.7, $340
02/25/2020, $337.91, 710177, $341.06, $348.9, $335.02
02/24/2020, $334.98, 628812, $332.82, $339.52, $328.26
02/21/2020, $344.99, 400630, $350, $350.46, $343.79
02/20/2020, $349.83, 785384, $353.58, $356.74, $343.14
02/19/2020, $356.78, 593761, $354.8, $361, $354.18
02/18/2020, $352.74, 535135, $353.01, $356.135, $351.26
02/14/2020, $354.64, 443737, $358.7, $358.7, $351.55
02/13/2020, $354.33, 651153, $347.67, $354.86, $345.4649
02/12/2020, $348.31, 631197, $352.72, $353.5135, $347.14
02/11/2020, $350.97, 503934, $356.47, $358.245, $350.06
02/10/2020, $352.5, 976641, $341.07, $355.48, $340.32
02/07/2020, $339.75, 990784, $346.75, $347.29, $337.27
02/06/2020, $346.88, 768684, $340.19, $347.6699, $336.09
02/05/2020, $337.85, 651707, $347.18, $347.95, $335.11
02/04/2020, $342.73, 1086441, $338.88, $346.22, $336.02
02/03/2020, $329.5, 930738, $323.98, $332.37, $323.2739
01/31/2020, $320.76, 803358, $326.73, $326.73, $319.72
01/30/2020, $328, 519808, $328.9, $332.47, $327.155
01/29/2020, $333.35, 612715, $331.46, $333.6, $329.07
01/28/2020, $327.89, 672803, $324.57, $328.68, $322.67
01/27/2020, $322.11, 1152340, $317.85, $324.51, $317.4774
01/24/2020, $328.15, 997237, $336.24, $339.165, $327.04
01/23/2020, $334.94, 860115, $335.42, $339, $332.15
01/22/2020, $340.15, 502985, $342.51, $344.585, $339.84
01/21/2020, $340.81, 990198, $348.39, $348.39, $339.18
01/17/2020, $349.82, 782425, $351.94, $352, $345.43
01/16/2020, $350.13, 650960, $345.3, $350.51, $341.44
01/15/2020, $345.68, 631106, $350, $351.4128, $345.48
01/14/2020, $348.91, 804644, $349.52, $351.33, $346.06
01/13/2020, $349.53, 832068, $341.75, $350.98, $341.75
01/10/2020, $338.91, 570003, $339.36, $342.31, $338.22
01/09/2020, $338.37, 702298, $334, $339.16, $332.57
01/08/2020, $331.01, 428287, $326.8, $334.06, $326.8
01/07/2020, $328.03, 515713, $324.54, $330.74, $322.9
01/06/2020, $324.06, 559328, $323.67, $324.535, $319.32
01/03/2020, $324.66, 657479, $323.29, $331.86, $322.185
